xvalues,yvalues,Result,CPUtime,customPowResult,CPUtimeCust,LossofAccuracy
7.100000,2.000000,50.410000,0.000041,50.410000,0.000005,0.000000
7.100000,2.500000,134.321605,0.000006,50.410000,0.000004,83.911605
7.100000,3.000000,357.911000,0.000005,50.410000,0.000005,307.501000
7.100000,3.100000,435.412488,0.000005,50.410000,0.000004,385.002488
7.100000,4.200000,3760.841795,0.000005,50.410000,0.000005,3710.431795
7.100000,5.300000,32483.981031,0.000005,50.410000,0.000004,32433.571031
7.100000,6.400000,280577.881525,0.000006,50.410000,0.000004,280527.471525
7.100000,7.000000,909512.015839,0.000005,50.410000,0.000004,909461.605839
7.100000,8.300000,11626374.134756,0.000006,50.410000,0.000004,11626323.724756
7.100000,9.000000,45848500.718449,0.000006,50.410000,0.000004,45848450.308449
9.100000,2.000000,82.810000,0.000005,82.810000,0.000005,0.000000
9.100000,2.500000,249.806354,0.000005,82.810000,0.000005,166.996354
9.100000,3.000000,753.571000,0.000004,82.810000,0.000004,670.761000
9.100000,3.100000,939.784583,0.000005,82.810000,0.000005,856.974583
9.100000,4.200000,10665.318951,0.000005,82.810000,0.000004,10582.508951
9.100000,5.300000,121037.342379,0.000006,82.810000,0.000004,120954.532379
9.100000,6.400000,1373614.639880,0.000005,82.810000,0.000004,1373531.829880
9.100000,7.000000,5167610.193573,0.000005,82.810000,0.000005,5167527.383573
9.100000,8.300000,91210231.133997,0.000005,82.810000,0.000005,91210148.323997
9.100000,9.000000,427929800.129788,0.000006,82.810000,0.000004,427929717.319788
8.900000,2.000000,79.210000,0.000005,704.969000,0.000005,-625.759000
8.900000,2.500000,236.306146,0.000005,704.969000,0.000004,-468.662854
8.900000,3.000000,704.969000,0.000004,704.969000,0.000004,0.000000
8.900000,3.100000,877.221002,0.000004,704.969000,0.000004,172.252002
8.900000,4.200000,9714.893140,0.000005,704.969000,0.000004,9009.924140
8.900000,5.300000,107588.792968,0.000006,704.969000,0.000004,106883.823968
8.900000,6.400000,1191505.475673,0.000006,704.969000,0.000004,1190800.506673
8.900000,7.000000,4423133.489553,0.000006,704.969000,0.000004,4422428.520553
8.900000,8.300000,75846763.789785,0.000006,704.969000,0.000004,75846058.820785
8.900000,9.000000,350356403.707485,0.000006,704.969000,0.000004,350355698.738485
10.500000,2.000000,110.250000,0.000005,1157.625000,0.000005,-1047.375000
10.500000,2.500000,357.250831,0.000005,1157.625000,0.000005,-800.374169
10.500000,3.000000,1157.625000,0.000005,1157.625000,0.000004,0.000000
10.500000,3.100000,1464.491405,0.000005,1157.625000,0.000005,306.866405
10.500000,4.200000,19453.379362,0.000005,1157.625000,0.000005,18295.754362
10.500000,5.300000,258406.411520,0.000005,1157.625000,0.000005,257248.786520
10.500000,6.400000,3432507.651813,0.000005,1157.625000,0.000004,3431350.026813
10.500000,7.000000,14071004.226562,0.000005,1157.625000,0.000004,14069846.601562
10.500000,8.300000,299137722.135771,0.000007,1157.625000,0.000004,299136564.510771
10.500000,9.000000,1551328215.978516,0.000006,1157.625000,0.000005,1551327058.353516
14.500000,2.000000,210.250000,0.000004,44205.062500,0.000005,-43994.812500
14.500000,2.500000,800.608148,0.000005,44205.062500,0.000004,-43404.454352
14.500000,3.000000,3048.625000,0.000005,44205.062500,0.000004,-41156.437500
14.500000,3.100000,3983.279736,0.000005,44205.062500,0.000005,-40221.782764
14.500000,4.200000,75465.005735,0.000006,44205.062500,0.000004,31259.943235
14.500000,5.300000,1429718.088598,0.000006,44205.062500,0.000004,1385513.026098
14.500000,6.400000,27086644.901836,0.000006,44205.062500,0.000005,27042439.839336
14.500000,7.000000,134764658.664062,0.000006,44205.062500,0.000005,134720453.601562
14.500000,8.300000,4358674307.851569,0.000007,44205.062500,0.000004,4358630102.789069
14.500000,9.000000,28334269484.119141,0.000006,44205.062500,0.000005,28334225279.056641
17.900000,2.000000,320.410000,0.000005,1837659.968990,0.000006,-1837339.558990
17.900000,2.500000,1355.603175,0.000005,1837659.968990,0.000005,-1836304.365815
17.900000,3.000000,5735.339000,0.000005,1837659.968990,0.000005,-1831924.629990
17.900000,3.100000,7653.223494,0.000005,1837659.968990,0.000044,-1830006.745496
17.900000,4.200000,182802.752249,0.000006,1837659.968990,0.000006,-1654857.216741
17.900000,5.300000,4366375.326204,0.000005,1837659.968990,0.000006,2528715.357214
17.900000,6.400000,104294017.758026,0.000006,1837659.968990,0.000006,102456357.789036
17.900000,7.000000,588804630.664086,0.000006,1837659.968990,0.000005,586966970.695096
17.900000,8.300000,25042642697.016483,0.000006,1837659.968990,0.000005,25040805037.047493
17.900000,9.000000,188658891711.079620,0.000007,1837659.968990,0.000005,188657054051.110626
18.100000,2.000000,327.610000,0.000004,35161828.327081,0.000006,-35161500.717081
18.100000,2.500000,1393.787089,0.000005,35161828.327081,0.000005,-35160434.539992
18.100000,3.000000,5929.741000,0.000004,35161828.327081,0.000006,-35155898.586081
18.100000,3.100000,7921.429878,0.000005,35161828.327081,0.000006,-35153906.897203
18.100000,4.200000,191535.824026,0.000005,35161828.327081,0.000005,-34970292.503055
18.100000,5.300000,4631231.034208,0.000005,35161828.327081,0.000005,-30530597.292873
18.100000,6.400000,111980622.952561,0.000006,35161828.327081,0.000005,76818794.625480
18.100000,7.000000,636429092.720166,0.000006,35161828.327081,0.000005,601267264.393085
18.100000,8.300000,27462000544.016899,0.000006,35161828.327081,0.000005,27426838715.689819
18.100000,9.000000,208500535066.053772,0.000007,35161828.327081,0.000005,208465373237.726685
20.400000,2.000000,416.160000,0.000005,1470317654.591078,0.000007,-1470317238.431078
20.400000,2.500000,1879.643203,0.000005,1470317654.591078,0.000006,-1470315774.947875
20.400000,3.000000,8489.664000,0.000005,1470317654.591078,0.000006,-1470309164.927078
20.400000,3.100000,11477.664319,0.000005,1470317654.591078,0.000006,-1470306176.926759
20.400000,4.200000,316553.196411,0.000005,1470317654.591078,0.000005,-1470001101.394667
20.400000,5.300000,8730515.492824,0.000006,1470317654.591078,0.000006,-1461587139.098254
20.400000,6.400000,240787019.795209,0.000005,1470317654.591078,0.000006,-1229530634.795869
20.400000,7.000000,1470317654.591078,0.000006,1470317654.591078,0.000006,-0.000000
20.400000,8.300000,74119143080.867477,0.000006,1470317654.591078,0.000006,72648825426.276398
20.400000,9.000000,611887395134.622803,0.000007,1470317654.591078,0.000006,610417077480.031738
25.200000,2.000000,635.040000,0.000005,162631372156.122528,0.000006,-162631371521.082520
25.200000,2.500000,3187.875500,0.000005,162631372156.122528,0.000007,-162631368968.247040
25.200000,3.000000,16003.008000,0.000005,162631372156.122528,0.000006,-162631356153.114532
25.200000,3.100000,22097.425400,0.000007,162631372156.122528,0.000008,-162631350058.697113
25.200000,4.200000,768921.972364,0.000006,162631372156.122528,0.000006,-162630603234.150177
25.200000,5.300000,26756103.431449,0.000006,162631372156.122528,0.000006,-162604616052.691071
25.200000,6.400000,931029540.791312,0.000006,162631372156.122528,0.000006,-161700342615.331207
25.200000,7.000000,6453625879.211211,0.000006,162631372156.122528,0.000006,-156177746276.911316
25.200000,8.300000,428178137262.303589,0.000007,162631372156.122528,0.000006,265546765106.181061
25.200000,9.000000,4098310578334.287598,0.000006,162631372156.122528,0.000006,3935679206178.165039
30.000000,2.000000,900.000000,0.000004,19683000000000.000000,0.000005,-19682999999100.000000
30.000000,2.500000,4929.503018,0.000005,19683000000000.000000,0.000005,-19682999995070.496094
30.000000,3.000000,27000.000000,0.000004,19683000000000.000000,0.000005,-19682999973000.000000
30.000000,3.100000,37938.127315,0.000005,19683000000000.000000,0.000005,-19682999962061.871094
30.000000,4.200000,1599223.893526,0.000006,19683000000000.000000,0.000005,-19682998400776.105469
30.000000,5.300000,67412844.086534,0.000006,19683000000000.000000,0.000005,-19682932587155.914062
30.000000,6.400000,2841685624.027905,0.000006,19683000000000.000000,0.000005,-19680158314375.972656
30.000000,7.000000,21870000000.000000,0.000005,19683000000000.000000,0.000005,-19661130000000.000000
30.000000,8.300000,1820146790336.422363,0.000007,19683000000000.000000,0.000005,-17862853209663.578125
30.000000,9.000000,19683000000000.000000,0.000005,19683000000000.000000,0.000005,0.000000
